ID,Agent,LCity,BZip,County
146506,One Stop #8107,Foster,25081,BOONE
146507,One Stop #8128,Turtle Creek,25203,BOONE
146508,One Stop #8111,Charleston,25302,KANAWHA
146509,One Stop #8508,Charleston,25311,KANAWHA
146510,One Stop #8109,South Charleston,25309,KANAWHA
146511,One Stop #8514,Charleston,25302,KANAWHA
146512,One Stop #8101,South Charleston,25303,KANAWHA
146513,One Stop #8129,Charleston,25312,KANAWHA
146479,Spanky'S Quick Stop,Valley Bend,26293,RANDOLPH
146514,One Stop #8135,Nitro,25143,KANAWHA
146515,One Stop #8512,Bridgeport,26330,HARRISON
146516,One Stop #8027,Poca,25159,PUTNAM
146517,One Stop #8513,Morgantown,26501,MONONGALIA
146518,One Stop #8110,Logan,25601,LOGAN
146519,One Stop #8531,Princeton,24740,MERCER
146520,One Stop #8536,Fairmont,26554,MARION
146521,One Stop #8007,Oak Hill,25901,FAYETTE
146522,One Stop #8535,Omar,25638,LOGAN
146523,One Stop #8102,Saint Albans,25177,KANAWHA
146524,One Stop #8126,Rainelle,25962,GREENBRIER
146525,One Stop #8537,Cabin Creek,25035,KANAWHA
146526,One Stop #8131,Alum Creek,25003,KANAWHA
146527,One Stop #8103,Charleston,25313,KANAWHA
146528,One Stop #516,Huntington,25705,CABELL
146529,One Stop #530,Huntington,25705,CABELL
146530,One Stop #501,Huntington,25701,CABELL
146531,One Stop #532,Milton,25541,CABELL
146532,One Stop #8115,Charleston,25304,KANAWHA
146533,One Stop #8517,South Charleston,25309,KANAWHA
146534,One Stop #8507,South Charleston,25303,KANAWHA
146492,Brittany'S Place,Huntington,25701,CABELL
146494,Convenient Food Mart #3890,Weirton,26062,HANCOCK
146489,Mimi'S Elkview,Elkview,25071,KANAWHA
146485,Ginger'S Inc,Fort Gay,25514,WAYNE
146538,Mountaineer Grill & Pub,Martinsburg,25404,BERKELEY
146539,Smith Oil Inc,New Cumberland,26047,HANCOCK
146536,"Scarbro Market, Llc",Scarbro,25917,FAYETTE
146537,Mill Creek Pub,Mill Creek,26280,RANDOLPH
146542,The Holiday Room,Weirton,26062,HANCOCK
146543,Brushy Fork Mart Llc,Buckhannon,26201,UPSHUR
146540,Stogie'S #4,Barboursville,25504,CABELL
146544,Hmcsc,Barboursville,25504,CABELL
146535,Burlington General Store,Burlington,26710,MINERAL
146545,Sheetz #604,Morgantown,26508,MONONGALIA
146546,One Stop #8134,Caldwell,24925,GREENBRIER
146547,Par Mar #69,Athens,24712,MERCER
146548,Par Mar #54,Milton,25541,CABELL
146549,Par Mar #53,Franklin,26807,PENDLETON
146551,Belmont Hot Spot,Fairmont,26554,MARION
146550,7-Eleven #28315a,Harpers Ferry,25425,JEFFERSON
146552,Kwik Chek,Martinsburg,25401,BERKELEY
146541,Mtb Quik Stop,Martinsburg,25401,BERKELEY
