id,Agent,LStreet,LCity,LState,LZip,Deactivation,County
102444,Go Mart #30,9912 Maccorkle Ave,Charleston,WV,25315,30-Jun-21,KANAWHA
102514,Go Mart #08,1502 Greenbrier St,Charleston,WV,25311,30-Jun-21,KANAWHA
102602,J & J'S Mountaineer Mart  #32,1 W Main St,Richwood,WV,26261,30-Jun-20,NICHOLAS
102718,Go Mart #20,3302 First Ave,Nitro,WV,25143,30-Jun-21,KANAWHA
102790,Park Mart,3501 Mccorkle Ave Se,Charleston,WV,25304,30-Jun-21,KANAWHA
102930,Speedway #9222,400 Maccorkle Ave Sw,South Charleston,WV,25303,30-Jun-21,KANAWHA
102949,Go Mart #09,1156 Richwood Rd,Richwood,WV,26261,30-Jun-21,NICHOLAS
103615,Smith'S Food Fair  #1,Rt 119,Charleston,WV,25302,30-Jun-21,KANAWHA
103679,Speedway #9221,2400 Us  Rt  60,Culloden,WV,25510,30-Jun-16,CABELL
103766,Go Mart #32,550 Third St,Saint Albans,WV,25177,30-Jun-21,KANAWHA
103844,Go Mart #06,701 Broad St,Summersville,WV,26651,30-Jun-21,NICHOLAS
103853,Speedway #9926,5702 Us Route 60,Huntington,WV,25705,30-Jun-21,CABELL
103862,Speedway #9033,2500 5th St Rd,Huntington,WV,25701,30-Jun-21,CABELL
103899,Speedway #9765,1562 Madison Ave,Huntington,WV,25704,30-Jun-21,WAYNE
103904,Speedway #9772,826 8th St & 9th Ave,Huntington,WV,25701,30-Jun-21,CABELL
103922,Speedway #9786,524 Campbells Creek Dr,Charleston,WV,25306,30-Jun-21,KANAWHA
103931,Speedway #9791,2801 5th Ave,Huntington,WV,25702,30-Jun-21,CABELL
103940,Speedway #9794,10 South Ave,Clendenin,WV,25045,30-Jun-21,KANAWHA
103986,Go Mart #18,101 W Main St,Sutton,WV,26601,30-Jun-21,BRAXTON
104150,Trivillian'S Pharmacy,215 35th St,Charleston,WV,25304,30-Jun-15,KANAWHA
104350,Go Mart #15,206 W Main St,Saint Albans,WV,25177,30-Jun-21,KANAWHA
104369,Go Mart #24,1626 Bigley Ave,Charleston,WV,25302,30-Jun-21,KANAWHA
104905,Ripley Duchess #1110,1 Duke Dr,Ripley,WV,25271,30-Jun-21,JACKSON
104941,Go Mart #33,Rt 3 Box 77a,Ripley,WV,25271,30-Jun-21,JACKSON
105064,Go Mart #10,10 S Lewis St,Glenville,WV,26351,30-Jun-21,GILMER
105235,James Country Store,34 New England Ridge Rd,Washington,WV,26181,30-Jun-21,WOOD
105302,Kroger  #708,Mcgraw & Main St,Ripley,WV,25271,30-Jun-21,JACKSON
105320,Kroger  #752,2007  7th St,Parkersburg,WV,26101,30-Jun-21,WOOD
105339,Kroger  #753,930 Division St,Parkersburg,WV,26101,30-Jun-21,WOOD
105442,J & J'S Mountaineer Mart  #27,170 Wv Hwy 5 E,Glenville,WV,26351,30-Jun-20,GILMER
105519,Par Mar  #3,2301 Pike St,Parkersburg,WV,26101,30-Jun-21,WOOD
105564,Peoples News   #5,3601 Emerson Ave,Parkersburg,WV,26101,30-Jun-17,WOOD
105591,Pifer'S Service Center,115 Elizabeth Pike,Mineral Wells,WV,26150,30-Jun-16,WOOD
